song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,year
Life Is Good,Future Featuring Drake,2020-04-11,5,6.0,2,12,2020
Holy,Justin Bieber Featuring Chance The Rapper,2020-12-19,9,7.0,3,12,2020
Lose You To Love Me,Selena Gomez,2020-01-18,10,10.0,1,12,2020
Forever After All,Luke Combs,2020-12-26,92,66.0,2,8,2020
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-05-15,2,2.0,1,9,2021
Life Is Good,Future Featuring Drake,2020-03-21,3,2.0,2,9,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-10-24,3,5.0,2,9,2020
Mood,24kGoldn Featuring iann dior,2020-10-17,4,5.0,4,9,2020
Drivers License,Olivia Rodrigo,2021-03-20,5,1.0,1,9,2021
Holy,Justin Bieber Featuring Chance The Rapper,2020-11-28,6,7.0,3,9,2020
Dynamite,BTS,2020-10-31,7,5.0,1,9,2020
Good Days,SZA,2021-03-06,17,18.0,9,9,2021
Heartless,The Weeknd,2020-02-01,19,18.0,1,9,2020
Don't Start Now,Dua Lipa,2020-01-11,21,52.0,21,9,2020
Godzilla,Eminem Featuring Juice WRLD,2020-03-28,23,32.0,3,9,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-03-07,45,44.0,44,9,2020
Franchise,Travis Scott Featuring Young Thug & M.I.A.,2020-12-05,78,58.0,1,9,2020
Gooba,6ix9ine,2020-07-18,81,55.0,3,9,2020
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-05-22,1,2.0,1,10,2021
Mood,24kGoldn Featuring iann dior,2020-10-24,1,4.0,1,10,2020
Drivers License,Olivia Rodrigo,2021-03-27,3,5.0,1,10,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-10-31,3,3.0,2,10,2020
Godzilla,Eminem Featuring Juice WRLD,2020-05-09,66,66.0,3,15,2020
Mood,24kGoldn Featuring iann dior,2020-12-05,2,1.0,1,16,2020
Memories,Maroon 5,2020-01-18,4,2.0,2,16,2020
Holy,Justin Bieber Featuring Chance The Rapper,2021-01-16,4,4.0,3,16,2021
Don't Start Now,Dua Lipa,2020-02-29,5,6.0,5,16,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-12-12,6,7.0,2,16,2020
Levitating,Dua Lipa Featuring DaBaby,2021-01-30,6,6.0,6,16,2021
Drivers License,Olivia Rodrigo,2021-05-08,10,10.0,1,16,2021
Lose You To Love Me,Selena Gomez,2020-02-15,11,11.0,1,16,2020
Life Is Good,Future Featuring Drake,2020-05-09,12,10.0,2,16,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-04-25,17,20.0,17,16,2020
Heartless,The Weeknd,2020-03-21,21,17.0,1,16,2020
Dynamite,BTS,2020-12-19,24,10.0,1,16,2020
Good Days,SZA,2021-04-24,39,35.0,9,16,2021
Lose You To Love Me,Selena Gomez,2020-01-04,18,12.0,1,10,2020
Heartless,The Weeknd,2020-02-08,19,19.0,1,10,2020
Good Days,SZA,2021-03-13,23,17.0,9,10,2021
Godzilla,Eminem Featuring Juice WRLD,2020-04-04,38,23.0,3,10,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-03-14,51,45.0,44,10,2020
Gooba,6ix9ine,2020-07-25,100,81.0,3,10,2020
Mood,24kGoldn Featuring iann dior,2020-10-31,1,1.0,1,11,2020
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-05-29,4,1.0,1,11,2021
Drivers License,Olivia Rodrigo,2021-04-03,4,3.0,1,11,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-11-07,4,3.0,2,11,2020
Life Is Good,Future Featuring Drake,2020-04-04,6,4.0,2,11,2020
Holy,Justin Bieber Featuring Chance The Rapper,2020-12-12,7,6.0,3,11,2020
Lose You To Love Me,Selena Gomez,2020-01-11,10,18.0,1,11,2020
Don't Start Now,Dua Lipa,2020-01-25,14,14.0,14,11,2020
Dynamite,BTS,2020-11-14,16,12.0,1,11,2020
Heartless,The Weeknd,2020-02-15,17,19.0,1,11,2020
Good Days,SZA,2021-03-20,19,23.0,9,11,2021
Mood,24kGoldn Featuring iann dior,2021-02-06,2,3.0,1,25,2021
Don't Start Now,Dua Lipa,2020-05-02,4,4.0,2,25,2020
Levitating,Dua Lipa Featuring DaBaby,2021-04-03,7,7.0,5,25,2021
Memories,Maroon 5,2020-03-21,13,9.0,2,25,2020
Life Is Good,Future Featuring Drake,2020-07-11,18,21.0,2,25,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-06-27,23,18.0,16,25,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2021-02-13,24,22.0,2,25,2021
Dynamite,BTS,2021-02-20,43,46.0,1,25,2021
Holy,Justin Bieber Featuring Chance The Rapper,2021-03-20,49,29.0,3,25,2021
Mood,24kGoldn Featuring iann dior,2021-02-13,2,2.0,1,26,2021
Don't Start Now,Dua Lipa,2020-05-09,7,4.0,2,26,2020
Levitating,Dua Lipa Featuring DaBaby,2021-04-10,7,7.0,5,26,2021
Memories,Maroon 5,2020-03-28,12,13.0,2,26,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-07-04,17,23.0,16,26,2020
Life Is Good,Future Featuring Drake,2020-07-18,24,18.0,2,26,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2021-02-20,30,24.0,2,26,2021
Dynamite,BTS,2021-02-27,45,43.0,1,26,2021
Mood,24kGoldn Featuring iann dior,2021-02-20,5,2.0,1,27,2021
Don't Start Now,Dua Lipa,2020-05-16,6,7.0,2,27,2020
Levitating,Dua Lipa Featuring DaBaby,2021-04-17,7,7.0,5,27,2021
Memories,Maroon 5,2020-04-04,14,12.0,2,27,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-07-11,21,17.0,16,27,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2021-02-27,36,30.0,2,27,2021
Life Is Good,Future Featuring Drake,2020-07-25,39,24.0,2,27,2020
Dynamite,BTS,2021-03-06,50,45.0,1,27,2021
Levitating,Dua Lipa Featuring DaBaby,2021-04-24,6,7.0,5,28,2021
Mood,24kGoldn Featuring iann dior,2021-02-27,7,5.0,1,28,2021
Don't Start Now,Dua Lipa,2020-05-23,9,6.0,2,28,2020
Memories,Maroon 5,2020-04-11,13,14.0,2,28,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-07-18,23,21.0,16,28,2020
Life Is Good,Future Featuring Drake,2020-08-01,28,39.0,2,28,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2021-03-06,39,36.0,2,28,2021
Dynamite,BTS,2021-03-13,43,50.0,1,28,2021
Levitating,Dua Lipa Featuring DaBaby,2021-05-01,5,6.0,5,29,2021
Mood,24kGoldn Featuring iann dior,2021-03-06,7,7.0,1,29,2021
Don't Start Now,Dua Lipa,2020-05-30,8,9.0,2,29,2020
Memories,Maroon 5,2020-04-18,15,13.0,2,29,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-07-25,23,23.0,16,29,2020
Life Is Good,Future Featuring Drake,2020-08-08,30,28.0,2,29,2020
Dynamite,BTS,2021-03-20,43,43.0,1,29,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,2021-03-13,47,39.0,2,29,2021
Levitating,Dua Lipa Featuring DaBaby,2021-05-08,5,5.0,5,30,2021
Mood,24kGoldn Featuring iann dior,2021-03-13,7,7.0,1,30,2021
Don't Start Now,Dua Lipa,2020-06-06,7,8.0,2,30,2020
Memories,Maroon 5,2020-04-25,15,15.0,2,30,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-08-01,16,23.0,16,30,2020
Life Is Good,Future Featuring Drake,2020-08-15,29,30.0,2,30,2020
Dynamite,BTS,2021-03-27,34,43.0,1,30,2021
Levitating,Dua Lipa Featuring DaBaby,2021-05-15,4,5.0,4,31,2021
Don't Start Now,Dua Lipa,2020-06-13,7,7.0,2,31,2020
Mood,24kGoldn Featuring iann dior,2021-03-20,10,7.0,1,31,2021
Memories,Maroon 5,2020-05-02,18,15.0,2,31,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-08-08,18,16.0,16,31,2020
Dynamite,BTS,2021-04-03,26,34.0,1,31,2021
Life Is Good,Future Featuring Drake,2020-08-22,30,29.0,2,31,2020
Levitating,Dua Lipa Featuring DaBaby,2021-05-22,2,4.0,2,32,2021
Mood,24kGoldn Featuring iann dior,2021-03-27,8,10.0,1,32,2021
Don't Start Now,Dua Lipa,2020-06-20,8,7.0,2,32,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-08-15,15,18.0,15,32,2020
Memories,Maroon 5,2020-05-09,21,18.0,2,32,2020
Dynamite,BTS,2021-04-10,30,26.0,1,32,2021
Life Is Good,Future Featuring Drake,2020-08-29,31,30.0,2,32,2020
Levitating,Dua Lipa Featuring DaBaby,2021-05-29,3,2.0,2,33,2021
Mood,24kGoldn Featuring iann dior,2021-04-03,10,8.0,1,33,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-08-22,11,15.0,11,33,2020
Don't Start Now,Dua Lipa,2020-06-27,14,8.0,2,33,2020
Go Crazy,Chris Brown & Young Thug,2021-01-02,24,16.0,9,33,2021
Memories,Maroon 5,2020-05-16,26,21.0,2,33,2020
Life Is Good,Future Featuring Drake,2020-09-05,35,31.0,2,33,2020
Go Crazy,Chris Brown & Young Thug,2021-01-09,6,24.0,6,34,2021
Mood,24kGoldn Featuring iann dior,2021-04-10,9,10.0,1,34,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-08-29,10,11.0,10,34,2020
Don't Start Now,Dua Lipa,2020-07-04,14,14.0,2,34,2020
Memories,Maroon 5,2020-05-23,24,26.0,2,34,2020
Life Is Good,Future Featuring Drake,2020-09-12,39,35.0,2,34,2020
Go Crazy,Chris Brown & Young Thug,2021-01-16,5,6.0,5,35,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-09-05,11,10.0,10,35,2020
Mood,24kGoldn Featuring iann dior,2021-04-17,13,9.0,1,35,2021
Don't Start Now,Dua Lipa,2020-07-11,15,14.0,2,35,2020
Memories,Maroon 5,2020-05-30,31,24.0,2,35,2020
Life Is Good,Future Featuring Drake,2020-09-19,33,39.0,2,35,2020
Go Crazy,Chris Brown & Young Thug,2021-01-23,5,5.0,5,36,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-09-12,12,11.0,10,36,2020
Don't Start Now,Dua Lipa,2020-07-18,15,15.0,2,36,2020
Mood,24kGoldn Featuring iann dior,2021-04-24,18,13.0,1,36,2021
Life Is Good,Future Featuring Drake,2020-09-26,33,33.0,2,36,2020
Memories,Maroon 5,2020-06-06,36,31.0,2,36,2020
Go Crazy,Chris Brown & Young Thug,2021-01-30,7,5.0,5,37,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-09-19,12,12.0,10,37,2020
Mood,24kGoldn Featuring iann dior,2021-05-01,19,18.0,1,37,2021
Don't Start Now,Dua Lipa,2020-07-25,27,15.0,2,37,2020
Memories,Maroon 5,2020-06-13,32,36.0,2,37,2020
Life Is Good,Future Featuring Drake,2020-10-03,36,33.0,2,37,2020
Go Crazy,Chris Brown & Young Thug,2021-02-06,6,7.0,5,38,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-09-26,11,12.0,10,38,2020
Mood,24kGoldn Featuring iann dior,2021-05-08,20,19.0,1,38,2021
Don't Start Now,Dua Lipa,2020-08-01,27,27.0,2,38,2020
Memories,Maroon 5,2020-06-20,32,32.0,2,38,2020
Life Is Good,Future Featuring Drake,2020-10-10,41,36.0,2,38,2020
Go Crazy,Chris Brown & Young Thug,2021-02-13,6,6.0,5,39,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-10-03,10,11.0,10,39,2020
Mood,24kGoldn Featuring iann dior,2021-05-15,24,20.0,1,39,2021
Don't Start Now,Dua Lipa,2020-08-08,24,27.0,2,39,2020
Memories,Maroon 5,2020-06-27,39,32.0,2,39,2020
Lemon Pepper Freestyle,Drake Featuring Rick Ross,2021-04-10,70,56.0,3,4,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-02-01,73,64.0,64,4,2020
Drivers License,Olivia Rodrigo,2021-02-20,1,1.0,1,5,2021
Dynamite,BTS,2020-10-03,1,2.0,1,5,2020
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-04-17,1,3.0,1,5,2021
Life Is Good,Future Featuring Drake,2020-02-22,2,2.0,2,5,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-09-26,3,3.0,2,5,2020
Kiss Me More,Doja Cat Featuring SZA,2021-05-22,5,5.0,5,5,2021
Mood,24kGoldn Featuring iann dior,2020-09-19,6,8.0,6,5,2020
Montero (Call Me By Your Name),Lil Nas X,2021-05-08,7,4.0,1,5,2021
Holy,Justin Bieber Featuring Chance The Rapper,2020-10-31,9,14.0,3,5,2020
Good Days,SZA,2021-02-06,9,10.0,9,5,2021
Godzilla,Eminem Featuring Juice WRLD,2020-02-29,36,28.0,3,5,2020
Heartless,The Weeknd,2020-01-04,39,26.0,1,5,2020
Gooba,6ix9ine,2020-06-20,43,37.0,3,5,2020
Godzilla,Eminem Featuring Juice WRLD,2020-05-30,90,78.0,3,18,2020
Don't Start Now,Dua Lipa,2020-03-21,2,3.0,2,19,2020
Memories,Maroon 5,2020-02-08,4,5.0,2,19,2020
Mood,24kGoldn Featuring iann dior,2020-12-26,5,2.0,1,19,2020
Dynamite,BTS,2021-01-09,5,44.0,1,19,2021
Life Is Good,Future Featuring Drake,2020-05-30,6,13.0,2,19,2020
Holy,Justin Bieber Featuring Chance The Rapper,2021-02-06,8,8.0,3,19,2021
Levitating,Dua Lipa Featuring DaBaby,2021-02-20,8,5.0,5,19,2021
Heartless,The Weeknd,2020-04-11,12,4.0,1,19,2020
Lose You To Love Me,Selena Gomez,2020-03-07,21,21.0,1,19,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-05-16,21,19.0,16,19,2020
Drivers License,Olivia Rodrigo,2021-05-29,24,16.0,1,19,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,2021-01-02,25,17.0,2,19,2021
Good Days,SZA,2021-05-15,49,44.0,9,19,2021
Godzilla,Eminem Featuring Juice WRLD,2020-06-06,88,90.0,3,19,2020
Don't Start Now,Dua Lipa,2020-03-28,3,2.0,2,20,2020
Memories,Maroon 5,2020-02-15,4,4.0,2,20,2020
Mood,24kGoldn Featuring iann dior,2021-01-02,7,5.0,1,20,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,2021-01-09,7,25.0,2,20,2021
Popstar,DJ Khaled Featuring Drake,2020-10-31,46,40.0,3,14,2020
Anyone,Justin Bieber,2021-04-17,53,36.0,6,14,2021
Rain On Me,Lady Gaga & Ariana Grande,2020-09-05,55,44.0,1,14,2020
Stuck With U,Ariana Grande & Justin Bieber,2020-08-22,79,79.0,1,14,2020
Cardigan,Taylor Swift,2020-11-07,96,88.0,1,14,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-08-08,2,1.0,1,15,2020
Savage,Megan Thee Stallion,2020-07-04,2,4.0,1,15,2020
Blinding Lights,The Weeknd,2020-03-21,4,7.0,4,15,2020
Roses,SAINt JHN,2020-07-11,5,4.0,4,15,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-04-25,5,8.0,5,15,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-02-20,6,4.0,2,15,2021
Save Your Tears,The Weeknd & Ariana Grande,2021-04-17,6,6.0,4,15,2021
Positions,Ariana Grande,2021-02-13,7,7.0,1,15,2021
"10,000 Hours",Dan + Shay & Justin Bieber,2020-01-25,7,5.0,4,15,2020
Dance Monkey,Tones And I,2020-01-25,8,7.0,7,15,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-10-03,9,8.0,7,15,2020
Come & Go,Juice WRLD x Marshmello,2020-10-31,22,21.0,2,15,2020
Rain On Me,Lady Gaga & Ariana Grande,2020-09-12,34,55.0,1,15,2020
Popstar,DJ Khaled Featuring Drake,2020-11-07,54,46.0,3,15,2020
Anyone,Justin Bieber,2021-04-24,70,53.0,6,15,2021
Stuck With U,Ariana Grande & Justin Bieber,2020-08-29,90,79.0,1,15,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-08-15,2,2.0,1,16,2020
Blinding Lights,The Weeknd,2020-03-28,2,4.0,2,16,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-02-27,2,6.0,2,16,2021
Savage,Megan Thee Stallion,2020-07-11,4,2.0,1,16,2020
Roses,SAINt JHN,2020-07-18,5,5.0,4,16,2020
Save Your Tears,The Weeknd & Ariana Grande,2021-04-24,5,6.0,4,16,2021
Say So,Doja Cat Featuring Nicki Minaj,2020-05-02,5,5.0,5,16,2020
"10,000 Hours",Dan + Shay & Justin Bieber,2020-02-01,6,7.0,4,16,2020
Dance Monkey,Tones And I,2020-02-01,7,8.0,7,16,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-10-10,8,9.0,7,16,2020
Positions,Ariana Grande,2021-02-20,9,7.0,1,16,2021
Come & Go,Juice WRLD x Marshmello,2020-11-07,24,22.0,2,16,2020
Rain On Me,Lady Gaga & Ariana Grande,2020-09-19,37,34.0,1,16,2020
Popstar,DJ Khaled Featuring Drake,2020-11-14,62,54.0,3,16,2020
Anyone,Justin Bieber,2021-05-01,68,70.0,6,16,2021
Stuck With U,Ariana Grande & Justin Bieber,2020-09-05,89,90.0,1,16,2020
Blinding Lights,The Weeknd,2020-04-04,1,2.0,1,17,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-10-17,1,8.0,1,17,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-08-22,2,2.0,1,17,2020
Savage,Megan Thee Stallion,2020-07-18,4,4.0,1,17,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-03-06,4,2.0,2,17,2021
Circles,Post Malone,2020-01-04,5,3.0,1,17,2020
Save Your Tears,The Weeknd & Ariana Grande,2021-05-01,6,5.0,4,17,2021
"10,000 Hours",Dan + Shay & Justin Bieber,2020-02-08,6,6.0,4,17,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-05-09,6,5.0,5,17,2020
Dance Monkey,Tones And I,2020-02-08,7,7.0,7,17,2020
Roses,SAINt JHN,2020-07-25,8,5.0,4,17,2020
Positions,Ariana Grande,2021-02-27,10,9.0,1,17,2021
Come & Go,Juice WRLD x Marshmello,2020-11-14,31,24.0,2,17,2020
Rain On Me,Lady Gaga & Ariana Grande,2020-09-26,37,37.0,1,17,2020
Popstar,DJ Khaled Featuring Drake,2020-11-21,64,62.0,3,17,2020
Dance Monkey,Tones And I,2020-01-18,7,7.0,7,14,2020
Blinding Lights,The Weeknd,2020-03-14,7,8.0,7,14,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-04-18,8,7.0,7,14,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-09-26,8,9.0,7,14,2020
Astronaut In The Ocean,Masked Wolf,2021-05-29,11,6.0,6,14,2021
"10,000 Hours",Dan + Shay & Justin Bieber,2020-02-29,13,9.0,4,20,2020
Positions,Ariana Grande,2021-03-20,15,11.0,1,20,2021
Come & Go,Juice WRLD x Marshmello,2020-12-05,60,47.0,2,20,2020
Rain On Me,Lady Gaga & Ariana Grande,2020-10-17,65,55.0,1,20,2020
Blinding Lights,The Weeknd,2020-05-02,1,1.0,1,21,2020
Circles,Post Malone,2020-02-01,4,3.0,1,21,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-09-19,4,4.0,1,21,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-06-06,5,2.0,1,21,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-11-14,6,8.0,1,21,2020
Roses,SAINt JHN,2020-08-22,6,5.0,4,21,2020
Dance Monkey,Tones And I,2020-03-07,7,4.0,4,21,2020
Save Your Tears,The Weeknd & Ariana Grande,2021-05-29,9,4.0,1,21,2021
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-04-03,11,9.0,2,21,2021
Savage,Megan Thee Stallion,2020-08-15,13,9.0,1,21,2020
"10,000 Hours",Dan + Shay & Justin Bieber,2020-03-07,16,13.0,4,21,2020
Positions,Ariana Grande,2021-03-27,17,15.0,1,21,2021
Blinding Lights,The Weeknd,2020-05-09,2,1.0,1,22,2020
Circles,Post Malone,2020-02-08,3,4.0,1,22,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-09-26,4,4.0,1,22,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-06-13,4,5.0,1,22,2020
Roses,SAINt JHN,2020-08-29,8,6.0,4,22,2020
Dance Monkey,Tones And I,2020-03-14,8,7.0,4,22,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-11-21,9,6.0,1,22,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-04-10,14,11.0,2,22,2021
Savage,Megan Thee Stallion,2020-08-22,16,13.0,1,22,2020
"10,000 Hours",Dan + Shay & Justin Bieber,2020-03-14,20,16.0,4,22,2020
Positions,Ariana Grande,2021-04-03,21,17.0,1,22,2021
Blinding Lights,The Weeknd,2020-05-16,3,2.0,1,23,2020
Circles,Post Malone,2020-02-15,3,3.0,1,23,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-06-20,4,4.0,1,23,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-10-03,6,4.0,1,23,2020
Roses,SAINt JHN,2020-09-05,8,8.0,4,23,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-11-28,11,9.0,1,23,2020
Dance Monkey,Tones And I,2020-03-21,12,8.0,4,23,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-04-17,15,14.0,2,23,2021
Savage,Megan Thee Stallion,2020-08-29,20,16.0,1,23,2020
Positions,Ariana Grande,2021-04-10,25,21.0,1,23,2021
"10,000 Hours",Dan + Shay & Justin Bieber,2020-03-21,27,20.0,4,23,2020
Circles,Post Malone,2020-02-22,3,3.0,1,24,2020
Blinding Lights,The Weeknd,2020-05-23,4,3.0,1,24,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-06-27,6,4.0,1,24,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-10-10,7,6.0,1,24,2020
Roses,SAINt JHN,2020-09-12,11,8.0,4,24,2020
Dance Monkey,Tones And I,2020-03-28,15,12.0,4,24,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-12-05,19,11.0,1,24,2020
Savage,Megan Thee Stallion,2020-09-05,20,20.0,1,24,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-04-24,21,15.0,2,24,2021
"10,000 Hours",Dan + Shay & Justin Bieber,2020-03-28,22,27.0,4,24,2020
Positions,Ariana Grande,2021-04-17,24,25.0,1,24,2021
Circles,Post Malone,2020-02-29,3,3.0,1,25,2020
Blinding Lights,The Weeknd,2020-05-30,3,4.0,1,25,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-07-04,6,6.0,1,25,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-10-17,7,7.0,1,25,2020
Roses,SAINt JHN,2020-09-19,13,11.0,4,25,2020
Dance Monkey,Tones And I,2020-04-04,15,15.0,4,25,2020
"10,000 Hours",Dan + Shay & Justin Bieber,2020-04-04,19,22.0,4,25,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-05-01,26,21.0,2,25,2021
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-12-12,29,19.0,1,25,2020
Savage,Megan Thee Stallion,2020-09-12,30,20.0,1,25,2020
Positions,Ariana Grande,2021-04-24,31,24.0,1,25,2021
Circles,Post Malone,2020-03-07,3,3.0,1,26,2020
Blinding Lights,The Weeknd,2020-06-06,4,3.0,1,26,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-07-11,6,6.0,1,26,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-10-24,7,7.0,1,26,2020
Roses,SAINt JHN,2020-09-26,14,13.0,4,26,2020
Dance Monkey,Tones And I,2020-04-11,20,15.0,4,26,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-05-08,27,26.0,2,26,2021
"10,000 Hours",Dan + Shay & Justin Bieber,2020-04-11,28,19.0,4,26,2020
Savage,Megan Thee Stallion,2020-09-19,32,30.0,1,26,2020
Positions,Ariana Grande,2021-05-01,33,31.0,1,26,2021
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-12-19,44,29.0,1,26,2020
Blinding Lights,The Weeknd,2020-06-13,3,4.0,1,27,2020
Circles,Post Malone,2020-03-14,4,3.0,1,27,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-10-31,8,7.0,1,27,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-07-18,9,6.0,1,27,2020
Roses,SAINt JHN,2020-10-03,18,14.0,4,27,2020
Dance Monkey,Tones And I,2020-04-18,21,20.0,4,27,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-05-15,29,27.0,2,27,2021
Positions,Ariana Grande,2021-05-08,34,33.0,1,27,2021
"10,000 Hours",Dan + Shay & Justin Bieber,2020-04-18,34,28.0,4,27,2020
Savage,Megan Thee Stallion,2020-09-26,40,32.0,1,27,2020
Blinding Lights,The Weeknd,2020-06-20,3,3.0,1,28,2020
Circles,Post Malone,2020-03-21,5,4.0,1,28,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-11-07,11,8.0,1,28,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-07-25,18,9.0,1,28,2020
Roses,SAINt JHN,2020-10-10,22,18.0,4,28,2020
Dance Monkey,Tones And I,2020-04-25,24,21.0,4,28,2020
"10,000 Hours",Dan + Shay & Justin Bieber,2020-04-25,34,34.0,4,28,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-05-22,36,29.0,2,28,2021
Positions,Ariana Grande,2021-05-15,37,34.0,1,28,2021
Savage,Megan Thee Stallion,2020-10-03,48,40.0,1,28,2020
Blinding Lights,The Weeknd,2020-06-27,5,3.0,1,29,2020
Circles,Post Malone,2020-03-28,5,5.0,1,29,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-11-14,13,11.0,1,29,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-08-01,21,18.0,1,29,2020
Roses,SAINt JHN,2020-10-17,31,22.0,4,29,2020
Dance Monkey,Tones And I,2020-05-02,31,24.0,4,29,2020
Positions,Ariana Grande,2021-05-22,37,37.0,1,29,2021
"10,000 Hours",Dan + Shay & Justin Bieber,2020-05-02,41,34.0,4,29,2020
Blinding Lights,The Weeknd,2020-07-04,3,5.0,1,30,2020
Circles,Post Malone,2020-04-04,5,5.0,1,30,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-11-21,14,13.0,1,30,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-08-08,27,21.0,1,30,2020
Roses,SAINt JHN,2020-10-24,31,31.0,4,30,2020
Dance Monkey,Tones And I,2020-05-09,34,31.0,4,30,2020
"10,000 Hours",Dan + Shay & Justin Bieber,2020-05-09,46,41.0,4,30,2020
Blinding Lights,The Weeknd,2020-07-11,3,3.0,1,31,2020
Circles,Post Malone,2020-04-11,4,5.0,1,31,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-11-28,17,14.0,1,31,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-08-15,33,27.0,1,31,2020
