song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,rank_group
He Don't Love You (Like I Love You),Tony Orlando & Dawn,3/15/1975,55,,55,1,Top 100
Eve Of Destruction,Barry McGuire,8/21/1965,58,,58,1,Top 100
Give Me Love - (Give Me Peace On Earth),George Harrison,5/19/1973,59,,59,1,Top 100
(You're) Having My Baby,Paul Anka with Odia Coates,7/6/1974,82,,82,1,Top 100
A Horse With No Name,America,2/19/1972,84,,84,1,Top 100
Penny Lane,The Beatles,2/25/1967,85,,85,1,Top 100
ABC,Glee Cast,12/24/2011,88,,88,1,Top 100
Sunshine Superman,Donovan,7/30/1966,90,,90,1,Top 100
Back In My Arms Again,Genya Ravan,8/12/1978,94,,94,1,Top 100
Heart Of Gold,Neil Young,2/5/1972,62,,62,1,Top 100
Game Of Love,Wayne Fontana & The Mindbenders,3/20/1965,63,,63,1,Top 100
Get Off Of My Cloud,The Rolling Stones,10/9/1965,64,,64,1,Top 100
Mr. Custer,Larry Verne,8/27/1960,65,,65,1,Top 100
Listen To What The Man Said,Wings,5/31/1975,65,,65,1,Top 100
"Hello, I Love You",Glee Cast,5/1/2010,66,,66,1,Top 100
I Want To Be Wanted,Brenda Lee,9/10/1960,67,,67,1,Top 100
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,5/15/1965,67,,67,1,Top 100
Green Tambourine,The Lemon Pipers,12/16/1967,68,,68,1,Top 100
I'm Telling You Now,Freddie And The Dreamers,3/13/1965,71,,71,1,Top 100
Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,5/10/1969,71,,71,1,Top 100
Everybody Loves Somebody,Dean Martin,6/27/1964,72,,72,1,Top 100
In The Year 2525,Zager & Evans,6/21/1969,72,,72,1,Top 100
My Sweet Lord/Isn't It A Pity,George Harrison,11/28/1970,72,,72,1,Top 100
How Can You Mend A Broken Heart,Bee Gees,6/26/1971,73,,73,1,Top 100
Everything Is Beautiful,Ray Stevens,4/4/1970,74,,74,1,Top 100
My Boyfriend's Back,The Angels,8/3/1963,75,,75,1,Top 100
"Hello, I Love You",The Doors,7/6/1968,77,,77,1,Top 100
"Monday, Monday",The Mamas & The Papas,4/9/1966,79,,79,1,Top 100
Honky Tonk Women,The Rolling Stones,7/19/1969,79,,79,1,Top 100
"Help Me, Rhonda",The Beach Boys,4/17/1965,80,,80,1,Top 100
Poor Little Fool,Ricky Nelson,8/9/1958,1,1.0,1,2,Top 10
Rapstar,Polo G,5/1/2021,1,1.0,1,2,Top 10
Can't Buy Me Love,The Beatles,4/4/1964,1,27.0,1,2,Top 10
Do I Make You Proud,Taylor Hicks,7/8/2006,3,1.0,1,2,Top 10
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,1/3/1970,59,,59,1,Top 100
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,1/10/1970,40,59.0,40,2,Top 50
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,1/17/1970,22,40.0,22,3,Top 50
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,1/24/1970,15,22.0,15,4,Top 50
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,1/31/1970,8,15.0,8,5,Top 10
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,2/7/1970,4,8.0,4,6,Top 10
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,2/14/1970,1,4.0,1,7,Top 10
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,2/21/1970,1,1.0,1,8,Top 10
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,2/28/1970,2,1.0,1,9,Top 10
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,3/7/1970,3,2.0,1,10,Top 10
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,3/14/1970,7,3.0,1,11,Top 10
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,3/21/1970,21,7.0,1,12,Top 50
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star,Sly & The Family Stone,3/28/1970,23,21.0,1,13,Top 50
The Ballad Of The Green Berets,SSgt Barry Sadler,2/5/1966,87,,87,1,Top 100
The Ballad Of The Green Berets,SSgt Barry Sadler,2/12/1966,51,87.0,51,2,Top 100
The Ballad Of The Green Berets,SSgt Barry Sadler,2/19/1966,10,51.0,10,3,Top 10
The Ballad Of The Green Berets,SSgt Barry Sadler,2/26/1966,3,10.0,3,4,Top 10
The Ballad Of The Green Berets,SSgt Barry Sadler,3/5/1966,1,3.0,1,5,Top 10
The Ballad Of The Green Berets,SSgt Barry Sadler,3/12/1966,1,1.0,1,6,Top 10
The Ballad Of The Green Berets,SSgt Barry Sadler,3/19/1966,1,1.0,1,7,Top 10
The Ballad Of The Green Berets,SSgt Barry Sadler,3/26/1966,1,1.0,1,8,Top 10
The Ballad Of The Green Berets,SSgt Barry Sadler,4/2/1966,1,1.0,1,9,Top 10
The Ballad Of The Green Berets,SSgt Barry Sadler,4/9/1966,5,1.0,1,10,Top 10
The Ballad Of The Green Berets,SSgt Barry Sadler,4/16/1966,7,5.0,1,11,Top 10
The Ballad Of The Green Berets,SSgt Barry Sadler,4/23/1966,17,7.0,1,12,Top 50
The Ballad Of The Green Berets,SSgt Barry Sadler,4/30/1966,20,17.0,1,13,Top 50
The Long And Winding Road/For You Blue,The Beatles,5/23/1970,35,,35,1,Top 50
The Long And Winding Road/For You Blue,The Beatles,5/30/1970,12,35.0,12,2,Top 50
The Long And Winding Road/For You Blue,The Beatles,6/6/1970,10,12.0,10,3,Top 10
The Long And Winding Road/For You Blue,The Beatles,6/13/1970,1,10.0,1,4,Top 10
The Long And Winding Road/For You Blue,The Beatles,6/20/1970,1,1.0,1,5,Top 10
The Long And Winding Road/For You Blue,The Beatles,6/27/1970,4,1.0,1,6,Top 10
The Long And Winding Road/For You Blue,The Beatles,7/4/1970,4,4.0,1,7,Top 10
The Long And Winding Road/For You Blue,The Beatles,7/11/1970,8,4.0,1,8,Top 10
The Long And Winding Road/For You Blue,The Beatles,7/18/1970,20,8.0,1,9,Top 50
The Long And Winding Road/For You Blue,The Beatles,7/25/1970,21,20.0,1,10,Top 50
The Love You Save/I Found That Girl,Jackson 5,5/30/1970,45,,45,1,Top 50
The Love You Save/I Found That Girl,Jackson 5,6/6/1970,15,45.0,15,2,Top 50
The Love You Save/I Found That Girl,Jackson 5,6/13/1970,10,15.0,10,3,Top 10
The Love You Save/I Found That Girl,Jackson 5,6/20/1970,2,10.0,2,4,Top 10
The Love You Save/I Found That Girl,Jackson 5,6/27/1970,1,2.0,1,5,Top 10
The Love You Save/I Found That Girl,Jackson 5,7/4/1970,1,1.0,1,6,Top 10
The Love You Save/I Found That Girl,Jackson 5,7/11/1970,2,1.0,1,7,Top 10
The Love You Save/I Found That Girl,Jackson 5,7/18/1970,2,2.0,1,8,Top 10
The Love You Save/I Found That Girl,Jackson 5,7/25/1970,4,2.0,1,9,Top 10
The Love You Save/I Found That Girl,Jackson 5,8/1/1970,6,4.0,1,10,Top 10
The Love You Save/I Found That Girl,Jackson 5,8/8/1970,8,6.0,1,11,Top 10
The Love You Save/I Found That Girl,Jackson 5,8/15/1970,17,8.0,1,12,Top 50
The Love You Save/I Found That Girl,Jackson 5,8/22/1970,31,17.0,1,13,Top 50
Cardigan,Taylor Swift,9/26/2020,52,52.0,1,8,Top 100
Do I Make You Proud,Taylor Hicks,8/19/2006,98,78.0,1,8,Top 100
Soldier Boy,The Shirelles,5/19/1962,1,1.0,1,9,Top 10
People Got To Be Free,The Rascals,9/14/1968,1,1.0,1,9,Top 10
Dizzy,Tommy Roe,3/29/1969,1,1.0,1,9,Top 10
American Woman/No Sugar Tonight,The Guess Who,5/16/1970,1,1.0,1,9,Top 10
(You're) Having My Baby,Paul Anka with Odia Coates,8/31/1974,1,1.0,1,9,Top 10
Cardigan,Don Toliver,3/28/2020,90,,90,1,Top 100
Song Sung Blue,Neil Diamond,5/13/1972,35,67.0,35,2,Top 50
Penny Lane,The Beatles,3/4/1967,36,85.0,36,2,Top 50
Back In My Arms Again,The Supremes,5/8/1965,38,68.0,38,2,Top 50
"Can't Get Enough Of Your Love, Babe",Barry White,8/10/1974,39,51.0,39,2,Top 50
Dirty Diana,Michael Jackson,5/14/1988,40,53.0,40,2,Top 50
Cracklin' Rosie,Neil Diamond,8/29/1970,40,62.0,40,2,Top 50
Chapel Of Love,The Dixie Cups,5/9/1964,42,72.0,42,2,Top 50
Sheila,Tommy Roe,8/4/1962,43,73.0,43,2,Top 50
Dizzy,Tommy Roe,2/8/1969,44,86.0,44,2,Top 50
Don't Break The Heart That Loves You,Connie Francis,2/17/1962,46,66.0,46,2,Top 50
Black & White,Three Dog Night,8/19/1972,47,61.0,47,2,Top 50
A Horse With No Name,America,2/26/1972,47,84.0,47,2,Top 50
(You're) Having My Baby,Paul Anka with Odia Coates,7/13/1974,58,82.0,58,2,Top 100
Cardigan,Taylor Swift,8/15/2020,8,1.0,1,2,Top 10
ABC,Jackson 5,3/21/1970,14,41.0,14,2,Top 50
Paperback Writer,The Beatles,6/18/1966,15,28.0,15,2,Top 50
"Paint It, Black",The Rolling Stones,5/21/1966,19,48.0,19,2,Top 50
Dominique,The Singing Nun (Soeur Sourire),11/16/1963,19,64.0,19,2,Top 50
Surf City,Jan & Dean,6/22/1963,20,68.0,20,2,Top 50
Summer In The City,The Lovin' Spoonful,7/23/1966,21,53.0,21,2,Top 50
A Big Hunk O' Love,Elvis Presley With The Jordanaires,7/11/1959,25,43.0,25,2,Top 50
(I Can't Get No) Satisfaction,The Rolling Stones,6/19/1965,26,67.0,26,2,Top 50
Ringo,Lorne Greene,11/7/1964,28,62.0,28,2,Top 50
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,3/25/1967,29,50.0,29,2,Top 50
All You Need Is Love,The Beatles,7/29/1967,29,71.0,29,2,Top 50
Do Wah Diddy Diddy,Manfred Mann,9/12/1964,31,58.0,31,2,Top 50
People Got To Be Free,The Rascals,7/27/1968,32,64.0,32,2,Top 50
American Woman/No Sugar Tonight,The Guess Who,3/28/1970,34,46.0,34,2,Top 50
Soldier Boy,The Shirelles,3/31/1962,34,63.0,34,2,Top 50
Back In My Arms Again,Genya Ravan,8/19/1978,94,94.0,94,2,Top 100
Can't Buy Me Love,The Beatles,4/11/1964,1,1.0,1,3,Top 10
Paperback Writer,The Beatles,6/25/1966,1,15.0,1,3,Top 10
All You Need Is Love,The Beatles,8/5/1967,3,29.0,3,3,Top 10
Poor Little Fool,Ricky Nelson,8/16/1958,4,1.0,1,3,Top 10
Rapstar,Polo G,5/8/2021,4,1.0,1,3,Top 10
"Paint It, Black",The Rolling Stones,5/28/1966,4,19.0,4,3,Top 10
(I Can't Get No) Satisfaction,The Rolling Stones,6/26/1965,4,26.0,4,3,Top 10
Penny Lane,The Beatles,3/11/1967,5,36.0,5,3,Top 10
ABC,Jackson 5,3/28/1970,6,14.0,6,3,Top 10
Summer In The City,The Lovin' Spoonful,7/30/1966,7,21.0,7,3,Top 10
Dominique,The Singing Nun (Soeur Sourire),11/23/1963,9,19.0,9,3,Top 10
A Big Hunk O' Love,Elvis Presley With The Jordanaires,7/18/1959,9,25.0,9,3,Top 10
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,4/1/1967,9,29.0,9,3,Top 10
Do Wah Diddy Diddy,Manfred Mann,9/19/1964,9,31.0,9,3,Top 10
Surf City,Jan & Dean,6/29/1963,10,20.0,10,3,Top 10
Ringo,Lorne Greene,11/14/1964,10,28.0,10,3,Top 10
People Got To Be Free,The Rascals,8/3/1968,13,32.0,13,3,Top 50
Do I Make You Proud,Taylor Hicks,7/15/2006,14,3.0,1,3,Top 50
Chapel Of Love,The Dixie Cups,5/16/1964,14,42.0,14,3,Top 50
Back In My Arms Again,The Supremes,5/15/1965,15,38.0,15,3,Top 50
American Woman/No Sugar Tonight,The Guess Who,4/4/1970,17,34.0,17,3,Top 50
A Horse With No Name,America,3/4/1972,20,47.0,20,3,Top 50
Sunshine Superman,Donovan,8/13/1966,20,61.0,20,3,Top 50
Don't Break The Heart That Loves You,Connie Francis,2/24/1962,23,46.0,23,3,Top 50
Black & White,Three Dog Night,8/26/1972,23,47.0,23,3,Top 50
Cardigan,Taylor Swift,8/22/2020,24,8.0,1,3,Top 50
Soldier Boy,The Shirelles,4/7/1962,24,34.0,24,3,Top 50
Dizzy,Tommy Roe,2/1/1969,86,,86,1,Top 100
The Chipmunk Song,The Chipmunks With David Seville,11/29/1958,62,,62,1,Top 100
The Chipmunk Song,The Chipmunks With David Seville,12/6/1958,37,62.0,37,2,Top 50
The Chipmunk Song,The Chipmunks With David Seville,12/13/1958,10,37.0,10,3,Top 10
The Chipmunk Song,The Chipmunks With David Seville,12/20/1958,1,10.0,1,4,Top 10
The Chipmunk Song,The Chipmunks With David Seville,12/27/1958,1,1.0,1,5,Top 10
The Chipmunk Song,The Chipmunks With David Seville,1/3/1959,1,1.0,1,6,Top 10
The Chipmunk Song,The Chipmunks With David Seville,1/10/1959,1,1.0,1,7,Top 10
The Chipmunk Song,The Chipmunks With David Seville,1/17/1959,3,1.0,1,8,Top 10
The Chipmunk Song,The Chipmunks With David Seville,1/24/1959,15,3.0,1,9,Top 50
The Chipmunk Song,The Chipmunks With David Seville,1/31/1959,23,15.0,1,10,Top 50
The Chipmunk Song,The Chipmunks With David Seville,2/7/1959,28,23.0,1,11,Top 50
The Chipmunk Song,The Chipmunks With David Seville,2/14/1959,40,28.0,1,12,Top 50
The Chipmunk Song,The Chipmunks With David Seville,2/21/1959,71,40.0,1,13,Top 100
Theme From Shaft,Isaac Hayes,10/16/1971,50,,50,1,Top 50
Theme From Shaft,Isaac Hayes,10/23/1971,9,50.0,9,2,Top 10
Theme From Shaft,Isaac Hayes,10/30/1971,5,9.0,5,3,Top 10
Theme From Shaft,Isaac Hayes,11/6/1971,2,5.0,2,4,Top 10
Theme From Shaft,Isaac Hayes,11/13/1971,2,2.0,2,5,Top 10
Theme From Shaft,Isaac Hayes,11/20/1971,1,2.0,1,6,Top 10
Theme From Shaft,Isaac Hayes,11/27/1971,1,1.0,1,7,Top 10
Theme From Shaft,Isaac Hayes,12/4/1971,2,1.0,1,8,Top 10
Theme From Shaft,Isaac Hayes,12/11/1971,2,2.0,1,9,Top 10
Theme From Shaft,Isaac Hayes,12/18/1971,6,2.0,1,10,Top 10
Theme From Shaft,Isaac Hayes,12/25/1971,16,6.0,1,11,Top 50
Theme From Shaft,Isaac Hayes,1/1/1972,23,16.0,1,12,Top 50
Theme From Shaft,Isaac Hayes,1/8/1972,31,23.0,1,13,Top 50
Back In My Arms Again,Genya Ravan,8/26/1978,92,94.0,92,3,Top 100
Can't Buy Me Love,The Beatles,4/18/1964,1,1.0,1,4,Top 10
Penny Lane,The Beatles,3/18/1967,1,5.0,1,4,Top 10
Paperback Writer,The Beatles,7/2/1966,2,1.0,1,4,Top 10
All You Need Is Love,The Beatles,8/12/1967,2,3.0,2,4,Top 10
(I Can't Get No) Satisfaction,The Rolling Stones,7/3/1965,2,4.0,2,4,Top 10
Dominique,The Singing Nun (Soeur Sourire),11/30/1963,2,9.0,2,4,Top 10
"Paint It, Black",The Rolling Stones,6/4/1966,3,4.0,3,4,Top 10
Summer In The City,The Lovin' Spoonful,8/6/1966,3,7.0,3,4,Top 10
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,4/8/1967,3,9.0,3,4,Top 10
ABC,Jackson 5,4/4/1970,4,6.0,4,4,Top 10
Chapel Of Love,The Dixie Cups,5/23/1964,4,14.0,4,4,Top 10
A Big Hunk O' Love,Elvis Presley With The Jordanaires,7/25/1959,5,9.0,5,4,Top 10
People Got To Be Free,The Rascals,8/10/1968,5,13.0,5,4,Top 10
Poor Little Fool,Ricky Nelson,8/23/1958,6,4.0,1,4,Top 10
Rapstar,Polo G,5/15/2021,6,4.0,1,4,Top 10
Do Wah Diddy Diddy,Manfred Mann,9/26/1964,6,9.0,6,4,Top 10
Ringo,Lorne Greene,11/21/1964,6,10.0,6,4,Top 10
Back In My Arms Again,The Supremes,5/22/1965,6,15.0,6,4,Top 10
Surf City,Jan & Dean,7/6/1963,7,10.0,7,4,Top 10
A Horse With No Name,America,3/11/1972,7,20.0,7,4,Top 10
Sunshine Superman,Donovan,8/20/1966,10,20.0,10,4,Top 10
Soldier Boy,The Shirelles,4/14/1962,11,24.0,11,4,Top 50
Sheila,Tommy Roe,8/18/1962,12,24.0,12,4,Top 50
Easier Said Than Done,The Essex,6/8/1963,81,,81,1,Top 100
Love Me Do,The Beatles,4/11/1964,81,,81,1,Top 100
Harper Valley P.T.A.,Jeannie C. Riley,8/24/1968,81,,81,1,Top 100
If You Wanna Be Happy,Jimmy Soul,3/30/1963,84,,84,1,Top 100
Fingertips - Pt 2,Little Stevie Wonder,6/22/1963,85,,85,1,Top 100
Mr. Tambourine Man,The Byrds,5/15/1965,87,,87,1,Top 100
I'm Leaving It Up To You,Dale & Grace,10/5/1963,89,,89,1,Top 100
I Will Follow Him,Little Peggy March,3/23/1963,90,,90,1,Top 100
Kind Of A Drag,The Buckinghams,12/31/1966,90,,90,1,Top 100
Duke Of Earl,Gene Chandler,1/13/1962,93,,93,1,Top 100
Harper Valley P.T.A.,King Curtis & The Kingpins,10/12/1968,93,,93,1,Top 100
Get Down Tonight,KC And The Sunshine Band,7/12/1975,94,,94,1,Top 100
Song Sung Blue,Neil Diamond,7/1/1972,1,2.0,1,9,Top 10
Dirty Diana,Michael Jackson,7/2/1988,1,2.0,1,9,Top 10
Don't Break The Heart That Loves You,Connie Francis,4/7/1962,2,1.0,1,9,Top 10
Do Wah Diddy Diddy,Manfred Mann,10/31/1964,2,1.0,1,9,Top 10
(I Can't Get No) Satisfaction,The Rolling Stones,8/7/1965,2,1.0,1,9,Top 10
ABC,Jackson 5,5/9/1970,2,1.0,1,9,Top 10
Cracklin' Rosie,Neil Diamond,10/17/1970,2,1.0,1,9,Top 10
A Horse With No Name,America,4/15/1972,2,1.0,1,9,Top 10
Dominique,The Singing Nun (Soeur Sourire),1/4/1964,3,1.0,1,9,Top 10
Chapel Of Love,The Dixie Cups,6/27/1964,3,1.0,1,9,Top 10
Somethin' Stupid,Nancy Sinatra & Frank Sinatra,5/13/1967,3,1.0,1,9,Top 10
Sheila,Tommy Roe,9/22/1962,3,2.0,1,9,Top 10
Sunshine Superman,Donovan,9/24/1966,3,3.0,1,9,Top 10
Summer In The City,The Lovin' Spoonful,9/10/1966,5,2.0,1,9,Top 10
Surf City,Jan & Dean,8/10/1963,7,3.0,1,9,Top 10
A Big Hunk O' Love,Elvis Presley With The Jordanaires,8/29/1959,7,4.0,1,9,Top 10
Ringo,Lorne Greene,12/26/1964,7,5.0,1,9,Top 10
Black & White,Three Dog Night,10/7/1972,8,2.0,1,9,Top 10
All You Need Is Love,The Beatles,9/16/1967,8,6.0,1,9,Top 10
"Paint It, Black",The Rolling Stones,7/9/1966,9,4.0,1,9,Top 10
Back In My Arms Again,The Supremes,6/26/1965,11,5.0,1,9,Top 50
"Can't Get Enough Of Your Love, Babe",Barry White,9/28/1974,12,1.0,1,9,Top 50
Paperback Writer,The Beatles,8/6/1966,18,12.0,1,9,Top 50
Penny Lane,The Beatles,4/22/1967,21,12.0,1,9,Top 50
Can't Buy Me Love,The Beatles,5/23/1964,23,11.0,1,9,Top 50
Poor Little Fool,Ricky Nelson,9/27/1958,36,19.0,1,9,Top 50
Cardigan,Taylor Swift,10/3/2020,49,52.0,1,9,Top 50
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",5/9/2020,1,,1,1,Top 10
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",5/16/2020,12,1.0,1,2,Top 50
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",5/23/2020,15,12.0,1,3,Top 50
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",5/30/2020,16,15.0,1,4,Top 50
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",6/6/2020,17,16.0,1,5,Top 50
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",6/13/2020,22,17.0,1,6,Top 50
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",6/20/2020,25,22.0,1,7,Top 50
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",6/27/2020,32,25.0,1,8,Top 50
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",7/4/2020,35,32.0,1,9,Top 50
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",7/11/2020,38,35.0,1,10,Top 50
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",7/18/2020,53,38.0,1,11,Top 100
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",7/25/2020,69,53.0,1,12,Top 100
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",8/1/2020,74,69.0,1,13,Top 100
Sunshine Superman,Donovan,8/6/1966,61,90.0,61,2,Top 100
Sheila,Tommy Roe,8/11/1962,24,43.0,24,3,Top 50
"Can't Get Enough Of Your Love, Babe",Barry White,8/17/1974,26,39.0,26,3,Top 50
Song Sung Blue,Neil Diamond,5/20/1972,27,35.0,27,3,Top 50
Cracklin' Rosie,Neil Diamond,9/5/1970,29,40.0,29,3,Top 50
Dirty Diana,Michael Jackson,5/21/1988,29,40.0,29,3,Top 50
Dizzy,Tommy Roe,2/15/1969,39,44.0,39,3,Top 50
(You're) Having My Baby,Paul Anka with Odia Coates,7/20/1974,42,58.0,42,3,Top 50
Cracklin' Rosie,Neil Diamond,9/26/1970,6,12.0,6,6,Top 10
Dirty Diana,Michael Jackson,6/11/1988,8,12.0,8,6,Top 10
(You're) Having My Baby,Paul Anka with Odia Coates,8/10/1974,13,23.0,13,6,Top 50
Rapstar,Polo G,5/29/2021,15,7.0,1,6,Top 50
There! I've Said It Again,Bobby Vinton,11/30/1963,50,,50,1,Top 50
There! I've Said It Again,Bobby Vinton,12/7/1963,22,50.0,22,2,Top 50
There! I've Said It Again,Bobby Vinton,12/14/1963,9,22.0,9,3,Top 10
There! I've Said It Again,Bobby Vinton,12/21/1963,4,9.0,4,4,Top 10
There! I've Said It Again,Bobby Vinton,12/28/1963,2,4.0,2,5,Top 10
There! I've Said It Again,Bobby Vinton,1/4/1964,1,2.0,1,6,Top 10
There! I've Said It Again,Bobby Vinton,1/11/1964,1,1.0,1,7,Top 10
There! I've Said It Again,Bobby Vinton,1/18/1964,1,1.0,1,8,Top 10
There! I've Said It Again,Bobby Vinton,1/25/1964,1,1.0,1,9,Top 10
There! I've Said It Again,Bobby Vinton,2/1/1964,7,1.0,1,10,Top 10
There! I've Said It Again,Bobby Vinton,2/8/1964,10,7.0,1,11,Top 10
There! I've Said It Again,Bobby Vinton,2/15/1964,18,10.0,1,12,Top 50
There! I've Said It Again,Bobby Vinton,2/22/1964,40,18.0,1,13,Top 50
This Diamond Ring,Gary Lewis And The Playboys,1/16/1965,65,,65,1,Top 100
This Diamond Ring,Gary Lewis And The Playboys,1/23/1965,34,65.0,34,2,Top 50
This Diamond Ring,Gary Lewis And The Playboys,1/30/1965,7,34.0,7,3,Top 10
This Diamond Ring,Gary Lewis And The Playboys,2/6/1965,4,7.0,4,4,Top 10
This Diamond Ring,Gary Lewis And The Playboys,2/13/1965,3,4.0,3,5,Top 10
This Diamond Ring,Gary Lewis And The Playboys,2/20/1965,1,3.0,1,6,Top 10
This Diamond Ring,Gary Lewis And The Playboys,2/27/1965,1,1.0,1,7,Top 10
This Diamond Ring,Gary Lewis And The Playboys,3/6/1965,2,1.0,1,8,Top 10
This Diamond Ring,Gary Lewis And The Playboys,3/13/1965,4,2.0,1,9,Top 10
This Diamond Ring,Gary Lewis And The Playboys,3/20/1965,8,4.0,1,10,Top 10
